Sample_ID,Plot,DateWeighed,DateFiltered,DateDelivered ,FalcoStandingTubeWeight wOutLid.g,WetSampleWeigh.g,DrySample Weigh.g ,Moisture.perc,MoistureDec.,DM.perc,DMDec,Study,Year,Location,SiteYear,Block,TrtNo,Trt,Residue,Herbicide,CovCropStg,CovCrop,CovStgResII,CovStgRes,CovStgResIV,CovStgResIII,Assay,AppTiming,TestHerb.ppm,perc.Recovery,ppmAdjustedto15gdry,Background.ppm,AdjTest-Back.ppm,StdHerb.ppm,Ratio,pyroxasulfone.mgL,DepWashSum.ppm,RyeBio,VetchBio,CloverBio
2P205 W,205,45591,45603,45603,12.911,15.886,10.157,56.40445013,0.564044501,43.59554987,0.435955499,Petri,2022,PA,PA22,B1,7,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),washoff,21 DAT,0.046,0.105515357,0.067933445,0.00136502,0.066568425,0.386006861,0.172453994,0.046,0.383597486,47.92,0,0
3E412W,412,45131, 8/1/2023, 8/1/2023,10.56,15.85,15.74,0.698856417,0.006988564,99.30114358,0.993011436,Petris,2023,DE,DE23,B4,7,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),washoff,21 DAT,0.0793,0.079858093,0.075571792,0,0.075571792,0.596552382,0.126680899,0.0793,0.435867723,67.2,0,0
2V302W,302,45593,na,na,12.989,15.322,15.109,1.409755775,0.014097558,98.59024423,0.985902442,Petris,2022,VA,VA22,B3,7,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),washoff,21 DAT,0.0817,0.08286824,0.081110596,0.00273538,0.078375216,0.195861906,0.400155485,0.0817,0.172128449,68,0,0
2P302 D,302,45591,45603,45603,12.876,17.212,17.212,0,0,100,1,Petri,2022,PA,PA22,B3,7,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,21 DAT,0.103,0.103,0.089762956,0.00136502,0.088397936,0.386006861,0.229006126,0.103,0.088183664,47.12,0,0
3E202D,202,45131, 8/1/2023, 8/1/2023,10.6,14.4,14.9,-3.355704698,-0.033557047,103.3557047,1.033557047,Petris,2023,DE,DE23,B2,7,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,21 DAT,0.0906,0.087658442,0.091208054,0,0.091208054,0.596552382,0.152891945,0.0906,0.56133384,54.6,0,0
2V302D,302,45593,na,na,12.914,17.13,16.774,2.122332181,0.021223322,97.87766782,0.978776678,Petris,2022,VA,VA22,B3,7,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,21 DAT,0.1079,0.110239652,0.096488613,0.00273538,0.093753233,0.195861906,0.478670074,0.1079,0.172128449,68,0,0
2P105 W,105,45589,45605,45605,12.935,19.864,13.383,48.42710902,0.48427109,51.57289098,0.51572891,Petri,2022,PA,PA22,B1,1,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),washoff,0 DAT,0.095,0.184205303,0.106478368,0.00136502,0.105113348,0.397757982,0.264264585,0.095,0.345700348,121.56,0,0
2P312 D,312,45589,45605,45605,12.999,15.206,15.099,0.708656202,0.007086562,99.2913438,0.992913438,Petri,2022,PA,PA22,B4,1,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,0 DAT,0.111,0.111792223,0.110272203,0.00136502,0.108907183,0.397757982,0.273802634,0.111,0.142048719,75.48,0,0
2E109D,109,45603,na,na,13.054,18.078,17.984,0.522686833,0.005226868,99.47731317,0.994773132,Petris,2022,DE,DE22,B1,1,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,0 DAT,0.1446,0.145359776,0.120607206,0.004081526,0.116525681,0.2357977,0.494176495,0.1446,0.119262337,69,0,0
3E411W,411,45132,45140,45140,10.72,15.54,15.44,0.647668394,0.006476684,99.35233161,0.993523316,Petris,2023,DE,DE23,B4,1,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),washoff,0 DAT,0.1309,0.131753325,0.127169689,0,0.127169689,0.491224275,0.258883153,0.1309,0.371492466,57.6,0,0
2E302D,302,45603,na,na,12.952,15.358,15.286,0.471019233,0.004710192,99.52898077,0.995289808,Petris,2022,DE,DE22,B3,1,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,0 DAT,0.1545,0.155231169,0.151609316,0.004081526,0.14752779,0.2357977,0.625654067,0.1545,0.161708578,51,0,0
2P402 D,402,45589,45605,45605,12.863,14.509,14.485,0.165688643,0.001656886,99.83431136,0.998343114,Petri,2022,PA,PA22,B3,1,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,0 DAT,0.145,0.145240647,0.150155333,0.00136502,0.148790313,0.397757982,0.374072476,0.145,0.16979578,88.81,0,0
3V303D,303,45183,45184,45184,10.6,14.84,14.6,1.643835616,0.016438356,98.35616438,0.983561644,Petris,2023,VA,VA23,B3,7,Yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,21 DAT,0.1517,0.154235376,0.155856164,0.006672747,0.149183418,0.492890719,0.302670373,0.1517,0.201005654,66,0,0
2V109D,109,45593,na,na,12.977,14.638,14.361,1.928835039,0.01928835,98.07116496,0.98071165,Petris,2022,VA,VA22,B1,7,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,21 DAT,0.1466,0.149483286,0.153123042,0.00273538,0.150387661,0.195861906,0.767824964,0.1466,0.172087708,54,0,0
3V206D,206,45176,45183,45183,10.7,16.28,14.78,10.1488498,0.101488498,89.8511502,0.898511502,Petris,2023,VA,VA23,B2,1,Yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,0 DAT,0.1713,0.190648645,0.173849797,0.006672747,0.16717705,0.363089075,0.460429855,0.1713,0.16159126,90,0,0
3V103D,103,45176,45183,45183,10.45,15.25,14.95,2.006688963,0.02006689,97.99331104,0.97993311,Petris,2023,VA,VA23,B1,1,Yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,0 DAT,0.1733,0.176848805,0.173879599,0.006672747,0.167206852,0.363089075,0.460511934,0.1733,0.222298811,100.5,0,0
2P108 D,108,45591,45607,45612,12.93,15.71,15.698,0.076442859,0.000764429,99.92355714,0.999235571,Petri,2022,PA,PA22,B2,7,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,21 DAT,0.177,0.177135407,0.169129825,0.00136502,0.167764805,0.386006861,0.434616122,0.177,0.213197601,108.68,0,0
3P108D,108,45105,45114,45114,10.61,16.18,16.19,-0.061766523,-0.000617665,100.0617665,1.000617665,Petris,2023,PA,PA23,B2,7,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,21 DAT,0.2049,0.204773519,0.189839407,0.0012156,0.188623807,0.275289491,0.685183464,0.2049,0.401113026,75.8,0,0
3V307D,307,45183,45184,45184,10.71,16.06,15.69,2.35818993,0.023581899,97.64181007,0.976418101,Petris,2023,VA,VA23,B3,1,Yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,0 DAT,0.2183,0.223572258,0.208699809,0.006672747,0.202027062,0.363089075,0.556411845,0.2183,0.20473583,100,0,0
3V403D,403,45176,45183,45183,10.45,17.53,17.25,1.623188406,0.016231884,98.37681159,0.983768116,Petris,2023,VA,VA23,B4,1,Yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,0 DAT,0.2457,0.249753978,0.213652174,0.006672747,0.206979427,0.363089075,0.570051377,0.2457,0.200913558,76.5,0,0
2E204D,204,45380,na,na,12.949,14.211,14.119,0.651604221,0.006516042,99.34839578,0.993483958,Petris,2022,DE,DE22,B2,1,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,0 DAT,0.2017,0.203022906,0.214285714,0.004081526,0.210204189,0.2357977,0.891459879,0.2017,0.215690026,36.8,0,0
3P108W,108,45132,45133,45133,10.54,15.43,9.96,54.91967871,0.549196787,45.08032129,0.450803213,Petris,2023,PA,PA23,B2,7,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),washoff,21 DAT,0.1419,0.314771492,0.213704819,0.0012156,0.212489219,0.275289491,0.77187552,0.1419,0.401113026,75.8,0,0
3V201D,201,45183,45184,45184,10.46,15.65,15.44,1.360103627,0.013601036,98.63989637,0.986398964,Petris,2023,VA,VA23,B2,7,Yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,21 DAT,0.2272,0.230332764,0.220725389,0.006672747,0.214052642,0.492890719,0.434280123,0.2272,0.250632035,49.5,0,0
2E110D,110,45380,na,na,12.86,15.425,15.368,0.370900573,0.003709006,99.62909943,0.996290994,Petris,2022,DE,DE22,B1,7,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,21 DAT,0.2236,0.224432421,0.218245705,0.004081526,0.21416418,0.313130202,0.683946099,0.2236,0.225153517,55.2,0,0
2P208 D,208,45589,45605,45605,13.006,15.528,15.442,0.556922678,0.005569227,99.44307732,0.994430773,Petri,2022,PA,PA22,B2,1,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,0 DAT,0.222,0.223243293,0.215645642,0.00136502,0.214280622,0.397757982,0.538721111,0.222,0.275706963,79.35,0,0
2E301D,301,45380,na,na,12.993,17.809,17.755,0.304139679,0.003041397,99.69586032,0.996958603,Petris,2022,DE,DE22,B3,7,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,21 DAT,0.2683,0.269118496,0.226668544,0.004081526,0.222587019,0.313130202,0.710844938,0.2683,0.227135387,12.2,0,0
2P105 D,105,45589,45605,45605,12.857,14.682,14.631,0.348574944,0.003485749,99.65142506,0.996514251,Petri,2022,PA,PA22,B1,1,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,0 DAT,0.236,0.236825514,0.24195202,0.00136502,0.240587,0.397757982,0.604857755,0.236,0.345700348,121.56,0,0
2E405D,405,45603,na,na,13.054,16.795,16.714,0.484623669,0.004846237,99.51537633,0.995153763,Petris,2022,DE,DE22,B4,1,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,0 DAT,0.274,0.275334335,0.245901639,0.004081526,0.241820114,0.2357977,1.025540597,0.274,0.247774857,35.4,0,0
3E411D,411,12/12/23,12/13/23,12/13/23,10.727,16.096,16.073,0.143097119,0.001430971,99.85690288,0.998569029,Petris,2023,DE,DE23,B4,1,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,0 DAT,0.2618,0.262175165,0.244322777,0,0.244322777,0.491224275,0.49737521,0.2618,0.371492466,57.6,0,0
3V409D,409,45183,45187,45187,10.56,14.14,13.94,1.43472023,0.014347202,98.56527977,0.985652798,Petris,2023,VA,VA23,B4,7,Yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,21 DAT,0.2374,0.240855604,0.255451937,0.006672747,0.24877919,0.492890719,0.504734986,0.2374,0.293571776,76.5,0,0
2E203D,203,45610,na,na,12.875,18.984,18.913,0.375403162,0.003754032,99.62459684,0.996245968,Petris,2022,DE,DE22,B2,7,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,21 DAT,0.3197,0.320904686,0.253555755,0.004081526,0.24947423,0.313130202,0.796710852,0.3197,0.256265034,21.8,0,0
3P205D,205,45105,45114,45114,10.61,15.05,14.99,0.400266845,0.004002668,99.59973316,0.995997332,Petris,2023,PA,PA23,B1,7,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,21 DAT,0.2508,0.251807904,0.250967312,0.0012156,0.249751712,0.275289491,0.907233004,0.2508,0.306945618,93.9,0,0
3P412D,412,45105,45114,45114,10.75,15.57,15.55,0.128617363,0.001286174,99.87138264,0.998713826,Petris,2023,PA,PA23,B4,7,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,21 DAT,0.2671,0.267443979,0.257652733,0.0012156,0.256437133,0.275289491,0.931518061,0.2671,0.289918622,82.5,0,0
3P302D,302,45105,45114,45114,10.55,15.19,15.25,-0.393442623,-0.003934426,100.3934426,1.003934426,Petris,2023,PA,PA23,B3,7,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,21 DAT,0.2765,0.275416395,0.271967213,0.0012156,0.270751613,0.275289491,0.983515978,0.2765,0.301174431,42.6,0,0
3P208D,208,45113,45114,45114,10.541,15.934,15.859,0.472917586,0.004729176,99.52708241,0.995270824,Petris,2023,PA,PA23,B2,1,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,0 DAT,0.295,0.296401736,0.279021376,0.0012156,0.277805776,0.494433595,0.561866707,0.295,0.303626571,103.29,0,0
3V109D,109,45176,45183,45183,10.48,14.65,14.52,0.895316804,0.008953168,99.1046832,0.991046832,Petris,2023,VA,VA23,B1,7,Yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,21 DAT,0.2897,0.292317165,0.29927686,0.006672747,0.292604113,0.492890719,0.593649062,0.2897,0.286031233,76,0,0
2P412 D,412,45589,45605,45605,12.993,16.566,16.575,-0.054298643,-0.000542986,100.0542986,1.000542986,Petri,2022,PA,PA22,B4,7,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,21 DAT,0.339,0.338816027,0.30678733,0.00136502,0.30542231,0.386006861,0.791235444,0.339,0.337911876,68.51,0,0
2P205 D,205,45591,45607,45612,12.999,16.517,16.489,0.169810176,0.001698102,99.83018982,0.998301898,Petri,2022,PA,PA22,B1,7,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,21 DAT,0.35,0.350595347,0.318394081,0.00136502,0.317029061,0.386006861,0.821304213,0.35,0.383597486,47.92,0,0
3P312D,312,45120,45140,45140,10.63,15.68,15.63,0.319897633,0.003198976,99.68010237,0.996801024,Petris,2023,PA,PA23,B4,1,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,0 DAT,0.3482,0.349317458,0.334165067,0.0012156,0.332949467,0.494433595,0.673395721,0.3482,0.364780917,46.86,0,0
3E412D,412,45132,45140,45140,10.7,16.25,16.22,0.184956843,0.001849568,99.81504316,0.998150432,Petris,2023,DE,DE23,B4,7,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,21 DAT,0.3896,0.390321927,0.360295931,0,0.360295931,0.596552382,0.603963611,0.3896,0.435867723,67.2,0,0
3E108D,108,45131, 8/1/2023, 8/1/2023,10.71,15.23,15.19,0.263331139,0.002633311,99.73666886,0.997366689,Petris,2023,DE,DE23,B1,7,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,21 DAT,0.3706,0.371578482,0.36596445,0,0.36596445,0.596552382,0.613465743,0.3706,0.418489367,57.2,0,0
3E309D,309,45132,45140,45140,10.63,16.3,16.27,0.184388445,0.001843884,99.81561156,0.998156116,Petris,2023,DE,DE23,B3,1,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,0 DAT,0.445,0.445822044,0.41026429,0,0.41026429,0.491224275,0.835187329,0.445,0.426299549,35.6,0,0
2E406D,406,45380,na,na,12.984,16.433,16.334,0.60609771,0.006060977,99.39390229,0.993939023,Petris,2022,DE,DE22,B4,7,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,21 DAT,0.5143,0.517436169,0.472297049,0.004081526,0.468215524,0.313130202,1.495274237,0.5143,0.481296929,20.8,0,0
3E202W,202,45131, 8/1/2023, 8/1/2023,10.59,14.99,14.31,4.751921733,0.047519217,95.24807827,0.952480783,Petris,2023,DE,DE23,B2,7,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),washoff,21 DAT,0.4485,0.470875642,0.470125786,0,0.470125786,0.596552382,0.788071258,0.4485,0.56133384,54.6,0,0
3P105D,105,45120,45140,45140,10.72,15.66,15.59,0.449005773,0.004490058,99.55099423,0.995509942,Petris,2023,PA,PA23,B1,1,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,0 DAT,0.5111,0.513405219,0.491757537,0.0012156,0.490541937,0.494433595,0.992129058,0.5111,0.539145832,83.38,0,0
3E201D,201,45132,45140,45140,10.75,15.66,15.55,0.707395498,0.007073955,99.2926045,0.992926045,Petris,2023,DE,DE23,B2,1,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,0 DAT,0.5434,0.547271373,0.524180064,0,0.524180064,0.491224275,1.067089089,0.5434,0.543314235,46.2,0,0
3P402D,402,45120,45140,45140,10.47,15.59,15.54,0.321750322,0.003217503,99.67824968,0.996782497,Petris,2023,PA,PA23,B3,1,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,0 DAT,0.5626,0.56441601,0.543050193,0.0012156,0.541834593,0.494433595,1.095869291,0.5626,0.55483761,90.75,0,0
3E310D,310,45132,45140,45140,10.56,16.93,16.84,0.534441805,0.005344418,99.46555819,0.994655582,Petris,2023,DE,DE23,B3,7,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,21 DAT,0.8402,0.844714507,0.748396675,0,0.748396675,0.596552382,1.254536395,0.8402,0.80566777,42.4,0,0
3E107D,107,45132,45140,45140,10.57,14.63,14.53,0.688231246,0.006882312,99.31176875,0.993117688,Petris,2023,DE,DE23,B1,1,yes,standing,pyroxasulfone,flagleaf,cereal rye,rye/flagleaf/stand,SECCE (flagleaf),SECCE (flagleaf),SECCE (flagleaf),deposition,0 DAT,0.7829,0.788325502,0.808224363,0,0.808224363,0.491224275,1.645326593,0.7829,0.828328607,49,0,0
3V405D,405,45176,45183,45183,10.59,14.62,14.31,2.166317261,0.021663173,97.83368274,0.978336827,Petris,2023,VA,VA23,B4,8,Yes,standing,pyroxasulfone,mid-heading,cereal rye,rye/heading/stand,SECCE (heading),SECCE (heading),SECCE (heading),deposition,21 DAT,0.0044,0.004497429,0.004612159,0.006672747,-0.002060587,0.492890719,-0.004180616,0.0044,0.366473278,112.5,0,0
3V210W,210,45183,45184,45184,10.47,14.36,14.13,1.627742392,0.016277424,98.37225761,0.983722576,Petris,2023,VA,VA23,B2,8,Yes,standing,pyroxasulfone,mid-heading,cereal rye,rye/heading/stand,SECCE (heading),SECCE (heading),SECCE (heading),washoff,21 DAT,0.0051,0.005184388,0.005414013,0.006672747,-0.001258734,0.492890719,-0.002553779,0.0051,0.004885857,126,0,0
2E305W,305,45381,na,na,12.94,15.725,15.668,0.363798826,0.003637988,99.63620117,0.996362012,Petris,2022,DE,DE22,B3,8,yes,standing,pyroxasulfone,mid-heading,cereal rye,rye/heading/stand,SECCE (heading),SECCE (heading),SECCE (heading),washoff,21 DAT,0.0102,0.010237243,0.009765126,0.004081526,0.005683601,0.313130202,0.018150919,0.0102,0.181814659,23.2,0,0
3V108W,108,45183,45184,45184,10.58,15.45,15.22,1.511169514,0.015111695,98.48883049,0.984888305,Petris,2023,VA,VA23,B1,8,Yes,standing,pyroxasulfone,mid-heading,cereal rye,rye/heading/stand,SECCE (heading),SECCE (heading),SECCE (heading),washoff,21 DAT,0.0127,0.012894863,0.012516426,0.006672747,0.005843679,0.492890719,0.011855932,0.0127,0.022588198,102.5,0,0
3V210D,210,45176,45183,45183,10.55,16.41,16.15,1.609907121,0.016099071,98.39009288,0.983900929,Petris,2023,VA,VA23,B2,8,Yes,standing,pyroxasulfone,mid-heading,cereal rye,rye/heading/stand,SECCE (heading),SECCE (heading),SECCE (heading),deposition,21 DAT,0.0138,0.014025802,0.012817337,0.006672747,0.006144591,0.492890719,0.012466437,0.0138,0.004885857,126,0,0
2E102W,102,45380,na,na,12.952,19.197,18.996,1.058117498,0.010581175,98.9418825,0.989418825,Petris,2022,DE,DE22,B1,8,yes,standing,pyroxasulfone,mid-heading,cereal rye,rye/heading/stand,SECCE (heading),SECCE (heading),SECCE (heading),washoff,21 DAT,0.0133,0.013442235,0.010502211,0.004081526,0.006420685,0.313130202,0.020504841,0.0133,0.173585675,22.4,0,0
2E212W,212,45603,na,na,13.081,17.634,17.407,1.304073074,0.013040731,98.69592693,0.986959269,Petris,2022,DE,DE22,B2,8,yes,standing,pyroxasulfone,mid-heading,cereal rye,rye/heading/stand,SECCE (heading),SECCE (heading),SECCE (heading),washoff,21 DAT,0.0124,0.012563842,0.010685356,0.004081526,0.006603831,0.313130202,0.021089729,0.0124,0.464936472,22.6,0,0
2E101W,101,45610,na,na,12.967,15.296,12.621,21.19483401,0.21194834,78.80516599,0.78805166,Petris,2022,DE,DE22,B1,2,yes,standing,pyroxasulfone,mid-heading,cereal rye,rye/heading/stand,SECCE (heading),SECCE (heading),SECCE (heading),washoff,0 DAT,0.013,0.01649638,0.01545044,0.004081526,0.011368914,0.19339124,0.05878712,0.013,0.123523239,26.4,0,0
2E402W,402,45381,na,na,12.96,15.75,13.938,13.00043048,0.130004305,86.99956952,0.869995695,Petris,2022,DE,DE22,B4,2,yes,standing,pyroxasulfone,mid-heading,cereal rye,rye/heading/stand,SECCE (heading),SECCE (heading),SECCE (heading),washoff,0 DAT,0.0162,0.018620782,0.017434352,0.004081526,0.013352827,0.19339124,0.069045666,0.0162,0.098763509,37.4,0,0
2E211W,211,45610,na,na,12.967,19.293,16.971,13.68216369,0.136821637,86.31783631,0.863178363,Petris,2022,DE,DE22,B2,2,yes,standing,pyroxasulfone,mid-heading,cereal rye,rye/heading/stand,SECCE (heading),SECCE (heading),SECCE (heading),washoff,0 DAT,0.0233,0.026993262,0.020593954,0.004081526,0.016512429,0.19339124,0.085383542,0.0233,0.10708331,43,0,0
3V108D,108,45176,45183,45183,10.6,14.11,13.9,1.510791367,0.015107914,98.48920863,0.984892086,Petris,2023,VA,VA23,B1,8,Yes,standing,pyroxasulfone,mid-heading,cereal rye,rye/heading/stand,SECCE (heading),SECCE (heading),SECCE (heading),deposition,21 DAT,0.0217,0.022032871,0.023417266,0.006672747,0.016744519,0.492890719,0.033972072,0.0217,0.022588198,102.5,0,0
2E401W,401,45603,na,na,12.912,17.524,16.996,3.106613321,0.031066133,96.89338668,0.968933867,Petris,2022,DE,DE22,B4,8,yes,standing,pyroxasulfone,mid-heading,cereal rye,rye/heading/stand,SECCE (heading),SECCE (heading),SECCE (heading),washoff,21 DAT,0.0237,0.024459874,0.020916686,0.004081526,0.016835161,0.313130202,0.053764092,0.0237,0.325637071,32.2,0,0
3V107W,107,45176,45183,45183,10.59,16.01,12.91,24.01239349,0.240123935,75.98760651,0.759876065,Petris,2023,VA,VA23,B1,2,Yes,standing,pyroxasulfone,mid-heading,cereal rye,rye/heading/stand,SECCE (heading),SECCE (heading),SECCE (heading),washoff,0 DAT,0.0237,0.031189297,0.027536793,0.006672747,0.020864046,0.49540007,0.042115549,0.0237,0.277049417,115,0,0
3E406W,406,12/12/23,12/13/23,12/13/23,10.487,15.768,15.713,0.350028639,0.003500286,99.64997136,0.996499714,Petris,2023,DE,DE23,B4,8,yes,standing,pyroxasulfone,mid-heading,cereal rye,rye/heading/stand,SECCE (heading),SECCE (heading),SECCE (heading),washoff,21 DAT,0.0248,0.024887112,0.023674664,0,0.023674664,0.596552382,0.039685809,0.0248,0.313976779,90,0,0
2E306W,306,45605,na,na,12.976,16.381,15.722,4.19157868,0.041915787,95.80842132,0.958084213,Petris,2022,DE,DE22,B3,2,yes,standing,pyroxasulfone,mid-heading,cereal rye,rye/heading/stand,SECCE (heading),SECCE (heading),SECCE (heading),washoff,0 DAT,0.0314,0.032773737,0.029958021,0.004081526,0.025876495,0.19339124,0.133803863,0.0314,0.148055674,58.8,0,0
3P410W,410,45132,45133,45133,10.61,17.426,12.19,42.95324036,0.429532404,57.04675964,0.570467596,Petris,2023,PA,PA23,B4,2,yes,standing,pyroxasulfone,mid-heading,cereal rye,rye/heading/stand,SECCE (heading),SECCE (heading),SECCE (heading),washoff,0 DAT,0.0237,0.041544866,0.029163249,0.0012156,0.027947649,0.394786132,0.070791871,0.0237,0.20790263,159.824,0,0
